dataset,left_side,right_side,threshold_value,clean_min,clean_max,clean_mean,clean_median,clean_stddev,modified_clean_min,modified_clean_max,modified_clean_mean,modified_clean_median,modified_clean_stddev
cifar10,0.0,8.0,0.17999999999999997,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,4.038960810248682e-07,0.00011289928806945682,1.2422789041011129e-05,5.848969522048719e-06,2.4823542844387703e-05
cifar10,0.0,8.0,0.18999999999999995,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,4.0913477050708025e-07,0.00010686288442229852,1.1967783393629361e-05,5.702426278730854e-06,2.3804854208719917e-05
cifar10,0.0,9.0,0.1,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.0031731866765767336,0.36395567655563354,0.07567423582077026,0.043662093579769135,0.09813541918992996
cifar10,0.0,9.0,0.11,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.0037081316113471985,0.3632204830646515,0.0804944857954979,0.051411937922239304,0.09742894768714905
cifar10,0.0,9.0,0.12,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.0046481904573738575,0.3709649443626404,0.08868399262428284,0.05216079205274582,0.09952441602945328
cifar10,0.0,9.0,0.13,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.004995115101337433,0.36460426449775696,0.09301285445690155,0.04590652883052826,0.09901599586009979
cifar10,0.0,9.0,0.13999999999999999,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.00532618910074234,0.3601353168487549,0.10058927536010742,0.04438465088605881,0.10323457419872284
cifar10,0.0,9.0,0.14999999999999997,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.004854361992329359,0.33408457040786743,0.1017153263092041,0.03303326666355133,0.10323598980903625
cifar10,0.0,9.0,0.15999999999999998,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.006836839020252228,0.3496954143047333,0.10475870966911316,0.03583003580570221,0.10114550590515137
cifar10,0.0,9.0,0.16999999999999998,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.0068509541451931,0.3310892581939697,0.11516547203063965,0.055444613099098206,0.11437398940324783
cifar10,0.0,9.0,0.17999999999999997,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.0076897284016013145,0.380066454410553,0.12144430726766586,0.07831060141324997,0.12089384347200394
cifar10,0.0,9.0,0.18999999999999995,0.017188498750329018,0.9752315282821655,0.6159772276878357,0.6673397421836853,0.323882520198822,0.006517952773720026,0.45853450894355774,0.1359415054321289,0.08552966266870499,0.14185279607772827
cifar10,1.0,0.0,0.1,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129512548446655,0.5131939649581909,0.5130484700202942,0.5130417346954346,5.715925362892449e-05
cifar10,1.0,0.0,0.11,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129523277282715,0.5131947994232178,0.5130492448806763,0.5130422711372375,5.706088268198073e-05
cifar10,1.0,0.0,0.12,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129525661468506,0.513194739818573,0.5130491256713867,0.5130420923233032,5.707310629077256e-05
cifar10,1.0,0.0,0.13,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129520893096924,0.5131950378417969,0.5130490064620972,0.5130419731140137,5.71370983379893e-05
cifar10,1.0,0.0,0.13999999999999999,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129532814025879,0.5131961107254028,0.5130494832992554,0.5130423307418823,5.705119838239625e-05
cifar10,1.0,0.0,0.14999999999999997,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.512954592704773,0.5131967663764954,0.5130505561828613,0.5130434632301331,5.6928169215098023e-05
cifar10,1.0,0.0,0.15999999999999998,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129565596580505,0.5131981372833252,0.5130518674850464,0.5130445957183838,5.6806104112183675e-05
cifar10,1.0,0.0,0.16999999999999998,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129567980766296,0.5131984949111938,0.5130520462989807,0.5130448341369629,5.683779454557225e-05
cifar10,1.0,0.0,0.17999999999999997,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129594206809998,0.513199508190155,0.5130537748336792,0.513046383857727,5.6626977311680093e-05
cifar10,1.0,0.0,0.18999999999999995,0.5134524703025818,0.513658881187439,0.5135502815246582,0.5135506391525269,5.6985620176419616e-05,0.5129622220993042,0.5132012367248535,0.5130555629730225,0.513047993183136,5.6461682106601074e-05
cifar10,1.0,2.0,0.1,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.6682883501052856,0.9428099393844604,0.7936561107635498,0.7964766025543213,0.062250953167676926
cifar10,1.0,2.0,0.11,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.6725229620933533,0.9462080001831055,0.7969540357589722,0.7996867895126343,0.061701152473688126
cifar10,1.0,2.0,0.12,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.6560623049736023,0.9430038928985596,0.7878217697143555,0.7900865077972412,0.06301821023225784
cifar10,1.0,2.0,0.13,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.6568343639373779,0.9435169100761414,0.7872912883758545,0.789881706237793,0.0619230642914772
cifar10,1.0,2.0,0.13999999999999999,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.653565526008606,0.9458183646202087,0.7870255708694458,0.7889782190322876,0.06294381618499756
cifar10,1.0,2.0,0.14999999999999997,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.6523326635360718,0.945867121219635,0.7900139093399048,0.7923552989959717,0.06319205462932587
cifar10,1.0,2.0,0.15999999999999998,0.32387232780456543,0.9970115423202515,0.7589960098266602,0.7978389859199524,0.1531994789838791,0.6622985005378723,0.9467670321464539,0.7938103079795837,0.7942782044410706,0.06175412982702255
